label,z,x,y,area,mean_intensity_0,mean_intensity_1,mean_intensity_2,mean_intensity_3,cell_type,color,legend
66,6.0,44.0,937.0,2745.0,1020.192349726776,43.96612021857924,31.21493624772313,224.96867030965402,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
67,6.0,37.0,988.0,1245.0,484.86987951807225,39.783132530120476,32.05301204819277,111.2144578313253,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
68,4.0,43.0,768.0,2039.0,1247.1628249141734,43.538008827856785,33.839627268268764,216.55419323197648,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
69,1.0,44.0,348.0,1083.0,910.2262234533704,48.549399815327796,166.61403508771932,229.9344413665744,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
70,7.0,42.0,664.0,1938.0,1407.5196078431372,52.76780185758514,89.70794633642929,355.7765737874097,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
72,0.0,44.0,903.0,108.0,954.7129629629628,21.166666666666668,30.13888888888889,433.0462962962963,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
73,5.0,50.0,875.0,2310.0,1015.4017316017315,42.82900432900433,36.82294372294372,349.0658008658008,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
74,2.0,48.0,179.0,691.0,888.9565846599132,28.4876989869754,86.54269175108541,335.4457308248915,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
75,1.0,47.0,372.0,136.0,1350.9338235294115,25.213235294117645,57.19852941176471,199.02205882352942,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
76,2.0,49.0,7.0,578.0,725.4653979238755,21.972318339100347,27.43598615916955,222.6505190311419,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
77,1.0,46.0,42.0,61.0,956.032786885246,27.081967213114748,156.86885245901638,125.29508196721312,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
78,2.0,54.0,203.0,1200.0,737.3508333333333,35.454166666666666,175.62,132.7125,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
79,5.0,54.0,587.0,5288.0,742.3780257186081,36.652420574886534,34.177760968229954,84.48506051437217,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
80,9.0,47.0,296.0,2541.0,894.2058244785518,175.5773317591499,540.7792207792206,219.7815820543093,3,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)",3
81,7.0,51.0,472.0,2215.0,517.7611738148984,40.94356659142212,36.94446952595937,26.527313769751693,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
82,5.0,55.0,139.0,1599.0,948.4434021263287,26.21138211382113,38.75109443402126,304.5816135084428,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
83,8.0,50.0,360.0,1220.0,1546.323770491803,38.640163934426226,88.8188524590164,358.2672131147541,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
84,1.0,53.0,67.0,229.0,1052.8602620087336,19.41048034934498,141.3886462882096,143.36244541484717,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
85,3.0,58.0,634.0,1633.0,752.0336803429271,43.552969993876296,71.79914268218003,160.893447642376,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
